ride_duration_minutes,vendor_1_tips,vendor_2_tips
0,17601,17620
1,3228,1376
2,1280,532
3,911,544
4,824,598
5,1205,1078
6,1936,1932
7,2544,3151
8,3834,4238
9,4902,5417
10,6681,6973
11,8839,10200
12,12475,13776
13,17297,20237
14,23386,26657
15,29713,33201
16,33959,37435
17,37879,42172
18,40523,45646
19,42442,47786
20,44415,51778
21,46855,53938
22,49204,56524
23,50639,57517
24,51162,59280
25,52339,59149
26,50435,58655
27,49285,59717
28,48513,57353
29,44990,54637
30,44063,51909
31,41821,48632
32,40121,46454
33,36812,42715
34,34098,40053
35,31078,36860
36,28582,34574
37,26461,32792
38,24123,29671
39,23193,27699
40,21039,26167
41,19584,23828
42,17621,21764
43,16576,21243
44,15582,19627
45,14419,18078
46,13384,16032
47,12157,14493
48,11306,13508
49,10291,12842
50,9451,11812
51,8607,10745
52,8288,9962
53,7520,8976
54,6843,8475
55,6181,7888
56,5566,6962
57,5586,6242
58,4438,5935
59,4198,5314
60,3913,4799
61,3204,4422
62,3263,3787
63,2946,3579
64,2784,3195
65,2638,2884
66,2275,2800
67,2124,2401
68,1967,2177
69,1662,2308
70,1486,1824
71,1758,1596
72,1372,1731
73,1107,1372
74,1022,1311
75,1126,1228
76,1123,1212
77,1033,1191
78,853,949
79,798,759
80,830,869
81,749,786
82,506,792
83,566,785
84,538,604
85,547,594
86,514,533
87,466,434
88,384,509
89,304,480
90,351,373
91,304,365
92,263,390
93,310,272
94,291,309
95,293,282
96,284,235
97,176,203
98,187,246
99,197,197
100,208,187
101,202,197
102,121,124
103,166,123
104,107,125
105,113,123
106,106,117
107,85,112
108,95,112
109,96,102
110,45,64
111,77,96
112,69,59
113,43,48
114,66,32
115,42,38
116,48,99
117,48,43
118,37,43
119,44,53
120,55,21
121,64,27
122,43,21
123,33,11
124,48,27
125,46,32
126,37,16
127,58,16
128,36,16
129,34,37
130,16,27
131,5,32
132,27,21
133,11,11
134,27,27
135,16,32
136,16,27
137,21,11
138,11,16
139,5,21
140,27,0
141,5,11
142,11,5
143,11,21
144,5,0
145,47,5
146,0,21
147,5,22
148,16,5
149,27,32
150,21,5
151,5,27
152,11,5
153,5,0
154,11,0
155,5,0
156,0,16
157,21,11
158,0,0
159,0,11
160,5,11
161,17,5
162,11,0
163,5,5
164,5,5
165,5,0
166,16,11
167,0,0
168,11,21
169,0,0
170,8,16
171,5,0
172,5,11
173,5,0
174,16,0
175,0,11
176,32,0
177,0,0
178,16,0
179,5,0
180,0,0
181,0,0
182,0,5
183,11,0
184,0,5
185,19,0
186,5,0
187,11,0
188,5,5
189,0,5
190,0,0
191,0,0
192,5,0
193,0,5
194,28,0
195,0,0
196,49,11
197,0,0
198,0,5
199,11,11
200,0,5
201,5,0
202,0,0
203,0,0
204,0,11
205,0,0
206,15,5
207,0,5
208,0,0
209,0,5
210,0,0
211,0,0
212,5,5
213,0,0
214,0,0
215,0,5
216,5,16
217,0,0
218,5,0
219,0,0
220,0,0
221,0,0
222,0,0
223,0,5
225,5,0
226,0,0
227,0,11
228,5,0
229,0,0
230,5,0
231,0,5
232,0,0
233,0,0
234,5,0
235,11,0
236,11,5
237,0,0
238,0,0
239,0,5
240,0,11
241,0,0
242,5,0
243,0,0
244,0,0
245,0,5
246,0,0
247,0,0
248,5,0
249,5,0
250,0,0
251,0,0
252,0,0
254,0,5
255,5,5
256,0,0
257,0,0
258,0,0
259,0,0
260,0,0
261,0,0
263,0,0
264,0,0
265,0,5
266,0,0
267,0,0
268,0,0
269,0,5
270,0,11
271,0,0
272,0,5
273,0,0
274,0,0
275,0,5
277,0,0
278,0,0
279,0,0
280,0,5
281,5,5
282,0,0
283,0,5
284,0,0
286,0,0
287,0,0
289,0,0
290,11,0
291,5,11
292,0,5
293,0,16
294,0,0
295,0,5
296,0,0
297,0,0
298,0,0
299,0,0
302,0,0
303,0,11
304,0,0
305,0,0
306,0,5
307,0,0
308,0,5
309,0,0
310,0,11
311,0,5
312,0,0
313,0,0
314,0,5
315,0,0
317,0,0
318,0,0
319,0,0
320,0,5
321,0,0
322,0,0
323,0,0
324,0,5
325,0,0
326,0,5
327,0,0
328,0,0
329,0,0
330,0,0
331,0,0
332,0,0
334,0,0
336,0,0
337,0,12
338,0,0
339,5,0
340,0,0
341,0,5
342,0,0
344,0,5
345,0,0
346,0,0
347,0,0
348,0,16
349,0,0
350,10,0
351,0,0
352,0,0
353,0,0
354,0,5
355,0,0
356,0,5
357,0,0
358,0,5
359,0,0
360,0,0
361,0,5
362,0,0
363,0,0
364,0,0
365,0,0
366,0,11
367,0,5
368,0,0
369,0,5
370,0,5
371,0,5
372,5,11
373,0,0
374,0,5
375,0,5
376,0,0
377,0,5
378,0,0
379,0,0
380,0,0
381,0,11
382,0,11
383,0,0
384,0,0
385,0,11
386,0,0
387,5,0
388,0,0
389,0,0
390,0,0
391,0,0
392,0,0
393,0,0
394,0,11
395,0,0
396,0,0
397,0,0
398,11,16
399,0,0
400,0,0
401,0,5
402,0,0
403,0,5
404,0,5
405,0,11
406,0,0
407,0,0
408,0,0
409,0,0
410,0,5
411,0,5
412,0,5
413,0,0
414,0,0
415,0,0
416,0,0
418,0,5
419,0,5
420,0,0
421,0,0
422,0,11
423,0,0
424,0,5
425,0,0
426,0,11
427,0,5
428,0,0
429,0,5
430,0,5
431,0,0
432,0,0
433,0,16
434,0,0
435,0,5
436,0,0
437,0,5
439,0,0
440,0,0
441,0,0
442,0,0
443,0,0
444,0,5
445,0,0
446,0,5
447,0,5
448,0,11
449,0,0
450,0,0
451,0,11
452,0,0
453,0,0
454,0,0
455,0,0
456,0,5
457,0,0
458,0,0
459,0,11
460,0,0
461,0,5
462,0,0
463,0,0
464,0,5
465,0,12
466,0,0
467,5,5
468,0,0
469,0,16
470,0,5
471,0,5
472,0,7
473,0,5
474,0,5
475,0,5
476,0,5
477,0,5
478,0,0
479,0,5
480,0,0
481,0,0
482,0,5
483,0,0
484,0,11
485,0,5
486,0,0
487,0,5
488,0,5
489,0,0
490,0,0
491,0,0
492,0,0
493,0,5
494,0,11
495,0,5
496,0,0
497,0,0
498,0,11
499,0,0
502,0,5
503,0,0
504,0,0
505,0,5
506,0,0
507,0,0
508,0,0
509,0,0
510,0,5
511,0,5
512,0,11
513,0,0
514,0,11
515,0,0
516,0,11
517,0,0
518,0,0
519,0,0
520,0,5
521,0,11
522,0,0
523,0,0
524,0,0
525,0,5
526,0,5
527,0,11
528,0,5
529,0,5
530,0,16
531,0,5
534,0,11
535,0,0
536,0,0
537,0,11
538,0,0
539,0,5
540,0,5
541,0,0
542,0,5
543,0,0
544,0,0
545,0,0
546,0,5
547,0,5
548,0,5
549,0,5
550,0,0
551,0,11
552,0,11
553,0,5
555,0,5
556,0,0
557,0,0
558,0,5
559,0,0
560,0,5
561,0,0
562,0,0
563,0,0
564,0,0
565,0,5
566,0,0
567,0,0
568,0,0
569,0,5
570,0,5
571,0,5
572,0,0
573,0,11
574,0,0
575,0,5
576,0,11
577,0,0
578,0,0
579,0,0
581,0,5
582,0,0
583,0,0
584,0,0
585,0,5
586,0,0
587,0,5
588,0,0
589,0,0
590,0,0
591,0,11
592,0,0
593,0,0
594,0,0
595,0,5
596,0,5
598,0,0
599,0,2
600,41,0
601,0,0
602,0,5
603,0,5
604,0,0
605,0,5
606,0,8
607,0,0
608,0,0
609,0,0
610,0,5
611,0,5
612,0,0
613,0,0
614,0,0
615,0,0
616,0,0
617,0,5
618,0,0
619,0,5
620,0,0
621,0,8
622,0,0
623,0,0
624,0,11
625,0,0
627,0,5
628,0,0
629,0,0
630,0,5
631,0,0
632,0,5
633,0,0
634,0,0
635,0,5
636,0,0
637,0,0
638,0,0
639,0,0
640,0,0
641,0,0
642,0,0
643,0,0
644,0,0
645,0,0
647,0,5
648,0,5
649,0,5
651,0,0
652,0,0
654,0,0
655,0,5
656,0,0
657,0,0
658,0,0
659,0,5
661,0,0
662,0,5
663,0,0
664,0,5
665,0,5
666,0,0
667,0,0
668,0,0
669,0,0
671,0,0
672,0,5
673,0,16
674,0,0
676,0,5
677,0,5
678,0,11
680,0,0
681,0,0
682,0,0
683,0,11
685,0,0
686,0,0
687,0,0
688,0,0
689,0,11
691,0,0
692,0,5
694,0,0
695,0,5
696,0,0
697,0,0
698,0,5
699,0,5
700,0,0
701,0,0
702,0,5
703,0,0
704,0,0
705,0,0
706,0,0
707,0,0
708,0,5
709,0,5
710,0,0
711,0,0
712,0,5
713,0,5
714,0,0
715,0,5
716,0,0
717,0,0
718,0,0
719,0,0
720,0,0
721,0,0
722,0,0
724,0,0
725,0,0
726,0,0
727,0,0
728,0,0
729,0,5
730,0,0
731,0,0
732,0,0
733,0,0
734,0,0
735,0,0
736,0,0
737,0,5
738,0,11
740,0,0
741,0,5
742,0,0
743,0,0
744,0,5
746,0,0
747,0,0
748,0,5
749,0,0
750,0,0
752,0,0
753,0,0
754,0,0
755,0,5
756,0,0
757,0,0
758,0,0
759,0,0
760,0,11
761,5,0
762,0,0
763,0,0
764,0,0
765,0,5
766,0,0
767,0,0
768,0,5
769,0,0
772,0,0
773,0,0
774,0,12
775,0,5
776,0,11
777,0,0
779,0,0
780,5,0
782,0,5
785,0,5
786,0,0
787,0,0
788,0,0
789,0,0
790,0,0
791,0,0
792,0,0
794,0,0
795,0,5
796,0,0
797,0,0
798,0,5
799,0,5
802,0,0
803,0,0
804,0,0
805,0,5
806,0,0
807,0,16
808,0,0
809,0,0
810,0,0
